早上七点开空调,HomeAppliance-Control
客厅空调风速低一些低一些,HomeAppliance-Control
打开烤箱的开关按钮,HomeAppliance-Control
儿童房的空调调高4度,HomeAppliance-Control
让洗衣机停止工作好吗,HomeAppliance-Control
我要出去旅游几天，帮我把灯设置为离家模式吧,HomeAppliance-Control
可不可以把电饭煲开到蛋糕模式呢,HomeAppliance-Control
这个烧水壶可以关闭了,HomeAppliance-Control
把卧室的空调开到十八度,HomeAppliance-Control
温度咋还是这么低，告诉我下取暖器现在的温度,HomeAppliance-Control
现在把空气净化器设置成高速模式行嘛,HomeAppliance-Control
这时候不想吹风扇了，帮我关掉,HomeAppliance-Control
放了些干货，帮我把冰箱变温抽屉调到珍品档,HomeAppliance-Control
我现在就得关空调,HomeAppliance-Control
麻烦开启人体传感器,HomeAppliance-Control
开启空气净化器睡眠模式,HomeAppliance-Control
请告诉我下现在空调是多少度哇,HomeAppliance-Control
调低把我的空调温度调低些,HomeAppliance-Control
客厅的空调调低到28,HomeAppliance-Control
帮我打开加湿器,HomeAppliance-Control
鱼已经准备好了，帮我把蒸烤机的纯蒸模式开启吧,HomeAppliance-Control
打开音响，让它自动播放轻快的音乐,HomeAppliance-Control
可以帮我把蒸烤箱切换到童锁功能不,HomeAppliance-Control
帮我把冰箱冷冻室的温度调到零下25度吧,HomeAppliance-Control
天气好干，湿度器升到70吧,HomeAppliance-Control
把抽烟机的档位调大一些,HomeAppliance-Control
哎空调冷风给我打开,HomeAppliance-Control
帮我把热水器温度调到50度吧,HomeAppliance-Control
我想打开吸油烟机,HomeAppliance-Control
有点冷啊空调帮我关掉,HomeAppliance-Control
今天天气太好了，我想拍照，帮我把摄像机设置成连拍模式吧,HomeAppliance-Control
把电扇的风速调大一些太热了,HomeAppliance-Control
这个空调温度太高了，调低一点儿,HomeAppliance-Control
将空调切换到省电模式行不行呢,HomeAppliance-Control
开启水浸传感器,HomeAppliance-Control
把空调风速调大再调大,HomeAppliance-Control
把电扇风速升到最大,HomeAppliance-Control
帮忙帮冰箱开启节能模式,HomeAppliance-Control
今天需要洗两件真丝衣物，帮我切换到丝绸洗吧,HomeAppliance-Control
空调风速要最高最强,HomeAppliance-Control
把空调调高10度可以吗,HomeAppliance-Control
我准备看电影了，把灯调暗一些，调到观影模式。,HomeAppliance-Control
游泳池蓄水打开,HomeAppliance-Control
把风速开到6了吧空调的,HomeAppliance-Control
帮我把电饭煲调成煮饭模式。,HomeAppliance-Control
空调风速调高百分之25,HomeAppliance-Control
能帮我把空调温度调到22度吗,HomeAppliance-Control
我出门时忘记关电脑了，帮我关掉它,HomeAppliance-Control
客厅的灯有点暗，帮我把灯调亮些吧,HomeAppliance-Control
可以不可以把灯的亮度调高一点,HomeAppliance-Control
帮我打开智能闹钟，然后矫正一下时间吧,HomeAppliance-Control
空调可以调到18度吗,HomeAppliance-Control
可以帮我把空调切换到除湿模式吗,HomeAppliance-Control
衣服有些皱了，帮我打开电熨斗。,HomeAppliance-Control
帮我打开客厅的摄像头好吗,HomeAppliance-Control
今天太干燥了，帮我打开加湿器。,HomeAppliance-Control
给我把空调调低温度,HomeAppliance-Control
帮我把洗衣机切换到婴儿洗模式吧,HomeAppliance-Control
开启下蒸烤箱的小面积烧烤功能呢,HomeAppliance-Control
早上八点就可以把智能窗帘拉开了,HomeAppliance-Control
冰箱冷冻室温度调成零下17度好不好呢,HomeAppliance-Control
查询空气净化器还剩下多少,HomeAppliance-Control
可不可以打开空气净化器呀,HomeAppliance-Control
准备做烤肉，把蒸烤箱切换到热风烧烤模式吧,HomeAppliance-Control
让洗衣机空气洗试试可以不,HomeAppliance-Control
扫地机器人不要扫地了,HomeAppliance-Control
把洗衣机调为烘干模式。,HomeAppliance-Control
把空调调成最高的温度,HomeAppliance-Control
给我打开车库自动门,HomeAppliance-Control
空调风速调到最高,HomeAppliance-Control
我让你打开一下客厅的灯带,HomeAppliance-Control
天太热了，帮我把空调温度调低三度吧。,HomeAppliance-Control
帮我把空气净化器调成静音模式,HomeAppliance-Control
全屋杀菌模式关闭,HomeAppliance-Control
把空调的制热模式开启,HomeAppliance-Control
下雪了好冷呀，帮我打开取暖器吧,HomeAppliance-Control
给空调风速调大些,HomeAppliance-Control
空调冷气风速调至13,HomeAppliance-Control
查一下电磁炉剩余时间,HomeAppliance-Control
请将电扇调到3档好么,HomeAppliance-Control
给我把音响关了。,HomeAppliance-Control
把厨房灯的色温调到白光吧,HomeAppliance-Control
30分钟后关闭饮水机,HomeAppliance-Control
可以让洗衣机进入超快洗模式吗，赶时间呀,HomeAppliance-Control
我要起床，帮我把灯切换到起夜场景模式吧,HomeAppliance-Control
帮我把电暖气调至30度,HomeAppliance-Control
十分钟后打开客厅空调可以吗,HomeAppliance-Control
开启洗衣机的洗涤模式可以吗,HomeAppliance-Control
电视声音再调大点行不行呢,HomeAppliance-Control
可不可以帮我把加湿器调到1档呢,HomeAppliance-Control
想要风扇一直对着我吹，帮我让风扇停止摇头吧,HomeAppliance-Control
我已经休息好了，按摩器暂停使用。,HomeAppliance-Control
帮我把洗衣机的快洗模式打开。,HomeAppliance-Control
去把空调设置为省电模式。,HomeAppliance-Control
帮我看下冰箱冷藏室里有几个鸡蛋吧,HomeAppliance-Control
扫地机器人帮我关了吧,HomeAppliance-Control
请把所有灯都关掉好吗,HomeAppliance-Control
空调能否帮我开开呀,HomeAppliance-Control
这时候帮我把浴霸切换到暖风模式，太冷啦,HomeAppliance-Control
想烤点鸡翅来吃下，帮我把蒸烤箱切换到热风烧烤吧,HomeAppliance-Control
空调太低啦调高点儿,HomeAppliance-Control
比较赶时间，帮我把洗衣机调成30分钟快速洗吧,HomeAppliance-Control
我准备关闭空调,HomeAppliance-Control
开小一点空调风呗,HomeAppliance-Control
空调温度需要调低很多降5度吧,HomeAppliance-Control
半小时后帮我把微波炉里的饭菜热热吧,HomeAppliance-Control
怎么空调风速这么高低点儿,HomeAppliance-Control
吧空调调低百分之10,HomeAppliance-Control
我把昨天的饭菜都放到微波炉里了，中午十二点帮我加热一下吧,HomeAppliance-Control
我想吹空调了，帮我把客厅空调打开一下,HomeAppliance-Control
我要和男朋友打视频电话，开下电脑,HomeAppliance-Control
将电磁炉的温度调节为54摄氏度,HomeAppliance-Control
我忘记洗衣机有没有关闭，帮我查一下洗衣机状态,HomeAppliance-Control
离开的时候把空调关了啊,HomeAppliance-Control
这么墨迹呢 空调湿度调高点儿啊,HomeAppliance-Control
主卧空调风速调大到百分之50,HomeAppliance-Control
至最大空调风速要,HomeAppliance-Control
帮我把空气净化器打开吧,HomeAppliance-Control
给我关小到百分之50空调风,HomeAppliance-Control
立马关掉电视机,HomeAppliance-Control
晚上12点后把空调关了,HomeAppliance-Control
把洗衣机调为烘干模式,HomeAppliance-Control
有点闷呢，帮我把空调调为送风模式好吗,HomeAppliance-Control
嗯把空调温度调高点儿,HomeAppliance-Control
自动换水系统打开游泳池的,HomeAppliance-Control
我等会出门，帮我把电视机关机。,HomeAppliance-Control
中央空调温度调到最低吧，太热啦,HomeAppliance-Control
洗衣机开机我要洗衣服,HomeAppliance-Control
车库门关闭,HomeAppliance-Control
自动报警系统给我关闭,HomeAppliance-Control
想给孩子做点溶豆，帮我快点打开蒸烤箱吧,HomeAppliance-Control
关闭烟雾警报器,HomeAppliance-Control
将电扇灯开一下行不行呢,HomeAppliance-Control
关闭屋内所有电源,HomeAppliance-Control
请把暖风调高点啦,HomeAppliance-Control
把台灯调成温馨模式可以不呢,HomeAppliance-Control
浴霸照明灯请打开哈,HomeAppliance-Control
开启门窗传感器夜间模式,HomeAppliance-Control
太热了，把空调调到最低温,HomeAppliance-Control
把客厅灯的色温调为白光,HomeAppliance-Control
我要看会书，帮我把台灯开启阅读模式,HomeAppliance-Control
给我空调湿度条到百分之30,HomeAppliance-Control
想煮粥吃，帮我把电饭煲开启煮粥模式吧,HomeAppliance-Control
空调风速调大点到百分之30,HomeAppliance-Control
打开烟雾报警器,HomeAppliance-Control
嗯把空调调高,HomeAppliance-Control
查询洗衣机正在使用哪个模式,HomeAppliance-Control
告诉我空气净化器滤芯还有多少,HomeAppliance-Control
把卧室空调温度调到恒温模式好吗,HomeAppliance-Control
嗯打开床头阅读灯,HomeAppliance-Control
要睡觉了将灯关掉好吗,HomeAppliance-Control
空调调高一点一点儿就行,HomeAppliance-Control
能不能让空气净化器静音呢,HomeAppliance-Control
让蒸烤箱切换到热风对流吧,HomeAppliance-Control
空调风速大点调至百分之30,HomeAppliance-Control
汇报下冰箱里面今天过期的食物吧,HomeAppliance-Control
开始准备午饭了，首先帮我把电饭煲切换到快煮饭模式吧,HomeAppliance-Control
把空调风速调成最高的,HomeAppliance-Control
这时候可以帮我打开洗衣机并切换到智能洗模式吗,HomeAppliance-Control
我想让衣服快点干，让洗衣机进入脱水模式吧,HomeAppliance-Control
改成空调最的高温,HomeAppliance-Control
做完饭后油烟味太重，抽油烟机风速调大一点。,HomeAppliance-Control
把灯来个温馨模式看看,HomeAppliance-Control
给我把空调风速调到强力,HomeAppliance-Control
打开收音机，我想听下新闻,HomeAppliance-Control
查一下智能窗帘的开关状态,HomeAppliance-Control
帮我把家里空调全部关掉吧，准备出去啦,HomeAppliance-Control
我想做培根披萨，帮我把蒸烤箱切换到披萨模式吧,HomeAppliance-Control
把洗衣机开启脱水模式吧，我想让衣服快点干,HomeAppliance-Control
快去把空调风速最大,HomeAppliance-Control
去打开电冰箱的电源。,HomeAppliance-Control
关上人体传感器吧,HomeAppliance-Control
唉你给我把温度调高了呀,HomeAppliance-Control
天儿太冷了，我要打开空调,HomeAppliance-Control
把空调温度调高到20摄氏度,HomeAppliance-Control
帮我打开手电筒,HomeAppliance-Control
今天是回南天，帮我把中央空调切换到除湿模式,HomeAppliance-Control
帮我把洗衣机切换到单烘干模式,HomeAppliance-Control
空调的温度有点太低了给我关了,HomeAppliance-Control
电扇风速调小一些。,HomeAppliance-Control
关闭厨房烟雾警报器,HomeAppliance-Control
空调调低点我热,HomeAppliance-Control
帮我关闭太阳能热水器,HomeAppliance-Control
浴缸自动放水系统打开,HomeAppliance-Control
将二楼卧室空调关了可不可以呢,HomeAppliance-Control
帮我打开一下卫生间的灯可以吗,HomeAppliance-Control
可以让洗衣机空气洗不,HomeAppliance-Control
自动洗碗机的温度调到四十度来消毒,HomeAppliance-Control
帮我让加湿器切换到恒湿调节模式吧,HomeAppliance-Control
对将空调风速调8,HomeAppliance-Control
加大空调风速,HomeAppliance-Control
打开洗碗机,HomeAppliance-Control
可以帮我把空调调为节能模式吗,HomeAppliance-Control
空调往下调低到26度吧,HomeAppliance-Control
帮我打开客厅的灯好吧,HomeAppliance-Control
有点闷了，浴霸切换到换气功能吧,HomeAppliance-Control
我想要最大的空调风速 快调一下,HomeAppliance-Control
空气净化器的滤芯还有多少呢，告诉下我吧,HomeAppliance-Control
空调风太大了减一下,HomeAppliance-Control
快点帮我打开一下热水器吧,HomeAppliance-Control
把电熨斗的温度调低。,HomeAppliance-Control
将客厅的空气净化器打开吧,HomeAppliance-Control
打开门窗传感器,HomeAppliance-Control
空调风速低五十老人房的,HomeAppliance-Control
我等下要去睡觉了，给我关闭电脑。,HomeAppliance-Control
我想要做烤鱼，帮我开下蒸烤箱的上下烤功能吧,HomeAppliance-Control
将冰箱冷藏室温度调到5度吧,HomeAppliance-Control
准备睡觉了，帮我把空气净化器调成静音模式吧,HomeAppliance-Control
空调现在关上吧,HomeAppliance-Control
微波炉帮我解冻,HomeAppliance-Control
把电视音量调高到20,HomeAppliance-Control
好了可以打开暖气阀了,HomeAppliance-Control
风速调至最大你听不到吗空调的,HomeAppliance-Control
马上出门，记得帮我把空气净化器关掉哟,HomeAppliance-Control
关了电视机电源,HomeAppliance-Control
马上到家了，麻烦帮我开一下热水器，我想洗澡。,HomeAppliance-Control
准备收拾房间，让洗衣机开始洗衣服吧,HomeAppliance-Control
等半个小时后关掉电视,HomeAppliance-Control
半个小时后把电饭煲通电熬粥,HomeAppliance-Control
帮我把冷冻室降为负17度吧,HomeAppliance-Control
帮我把电扇调到1档可不可以呢,HomeAppliance-Control
我今天想喝果汁，把榨汁机打开。,HomeAppliance-Control
快给我把空调调高,HomeAppliance-Control
把空调再调低一些,HomeAppliance-Control
再将空调风速调大三格,HomeAppliance-Control
可以帮我把蒸烤箱提前预热到200度嘛,HomeAppliance-Control
浴霸切换到换气功能行嘛,HomeAppliance-Control
把空调给我调高6度,HomeAppliance-Control
设置电视进入儿童模式。,HomeAppliance-Control
空调往上调高到28,HomeAppliance-Control
这个智能音响可以打开，我想听听歌,HomeAppliance-Control
我希望当我醒了电视能自动打开播放新闻,HomeAppliance-Control
能否帮我打开热水机呢，我想喝热水,HomeAppliance-Control
空气净化器可以关上了，我一会要出门,HomeAppliance-Control
我需要你打开全屋杀菌模式,HomeAppliance-Control
打开收音机，我想听岳云鹏的相声,HomeAppliance-Control
帮忙把空调调为制热模式,HomeAppliance-Control
现在温度升高了，帮我把空调温度调到二十度。,HomeAppliance-Control
天气变热了，冰箱温度调低一档。,HomeAppliance-Control
我说给我打开所有的窗户,HomeAppliance-Control
可否帮我把浴霸开启强暖模式呢,HomeAppliance-Control
要午睡了，空气净化器调为睡眠模式好吗,HomeAppliance-Control
准备出门，把家里所有的灯都关掉吧,HomeAppliance-Control
给我打开全屋杀菌模式,HomeAppliance-Control
自动报警系统关闭,HomeAppliance-Control
可以试试蒸烤箱的3D热风模式不,HomeAppliance-Control
今天卧室空调的风速开到最大,HomeAppliance-Control
嗯把空调温度调低点儿,HomeAppliance-Control
我要存放一些虾，帮我把变温抽屉开到珍品档好吗,HomeAppliance-Control
这时候想让空调上下扫风行不行呢,HomeAppliance-Control
可以不可以把浴霸切换到制热功能,HomeAppliance-Control
还能不能打开自动报警系统了,HomeAppliance-Control
打开电视。,HomeAppliance-Control
卧室灯光有点刺眼，设成暖光可以吗,HomeAppliance-Control
打开天猫精灵，让它为我讲笑话,HomeAppliance-Control
我想把音响的音质调到安静,HomeAppliance-Control
我要小小的空调风速,HomeAppliance-Control
能不能把空调调整为节能模式呢,HomeAppliance-Control
能不能帮我打开音响,HomeAppliance-Control
听不见呀，帮我把电视开大点声吧,HomeAppliance-Control
打开音响，播放歌曲,HomeAppliance-Control
调很大很大的空调风速,HomeAppliance-Control
现在将加湿器调至3档吧,HomeAppliance-Control
这时候可以帮我打开洗衣机吧,HomeAppliance-Control
可以帮我把取暖器调到30度吗,HomeAppliance-Control
查查现在扫地机器人的状态,HomeAppliance-Control
麻烦把空调的风速调大,HomeAppliance-Control
电磁炉关一下,HomeAppliance-Control
客厅空调的风速放最高好吗,HomeAppliance-Control
我想听下广播，帮我开下收音机吧,HomeAppliance-Control
给我开电视,HomeAppliance-Control
帮我打开蒸烤机好吗，我要蒸鱼吃,HomeAppliance-Control
准备收拾收拾，扫地机器人开始工作,HomeAppliance-Control
打开一下风扇行不行呢,HomeAppliance-Control
这时候帮我把加湿器调到1档吧,HomeAppliance-Control
空气净化器设为强风模式可以吗,HomeAppliance-Control
我想洗澡了，电热水器帮我打开一下吧,HomeAppliance-Control
帮我把蒸烤箱调成红外烧烤可以不,HomeAppliance-Control
电视声音改为最小好吗,HomeAppliance-Control
让风扇定时半小时后关机,HomeAppliance-Control
食材已经准备好了，帮我切换到电饭煲的煲汤功能吧,HomeAppliance-Control
准备洗澡，帮我把热水器温度调成40度吧,HomeAppliance-Control
可不可以将蒸烤箱切换到热风对流功能呢,HomeAppliance-Control
调低空调有没有听到,HomeAppliance-Control
给我空调温度调低,HomeAppliance-Control
暖风再降低些,HomeAppliance-Control
风速给我调至最高啊空调的,HomeAppliance-Control
今天室内有点闷，帮我打开空气净化器吧,HomeAppliance-Control
卧室灯设成暖光可以吗,HomeAppliance-Control
听不见啊，电视声音再调大点吧,HomeAppliance-Control
准备休息了，切换到空调的睡眠模式吧,HomeAppliance-Control
让空调风速调至2,HomeAppliance-Control
碗筷都洗好了，消毒柜的电源开开。,HomeAppliance-Control
预约半小时后开启加湿器,HomeAppliance-Control
调高空调温度,HomeAppliance-Control
是否可以把空调的温度调为19度,HomeAppliance-Control
可以把取暖器温度调高点呢,HomeAppliance-Control
感觉室内空气太干燥，打开一下加湿器吧,HomeAppliance-Control
帮我把洗衣机关掉。,HomeAppliance-Control
我想自己做披萨，帮我把蒸烤箱切换到披萨模式,HomeAppliance-Control
好了关上车库门吧,HomeAppliance-Control
帮我把窗帘打开吧，让阳光透进来,HomeAppliance-Control
准备打扫卫生，扫地机器人可以扫地啦,HomeAppliance-Control
再大点空调风速调至八,HomeAppliance-Control
可以告诉我下冷藏室现在存放的有哪些食材吗,HomeAppliance-Control
我想要放点菠萝到冰箱的变温抽屉，帮我开启果蔬模式,HomeAppliance-Control
微波炉高火加热五分钟,HomeAppliance-Control
帮忙客厅空调最大风,HomeAppliance-Control
可以将空气净化器设为高速模式么,HomeAppliance-Control
将热水器温度调节为38度,HomeAppliance-Control
空调温度调低一度可以吗,HomeAppliance-Control
暖风调高成不成,HomeAppliance-Control
帮我关上空调可以吧,HomeAppliance-Control
洗衣机进入漂洗模式好吗,HomeAppliance-Control
现在帮我开开空调,HomeAppliance-Control
洗衣机节能模式帮我开下,HomeAppliance-Control
查看一下无线网的状态,HomeAppliance-Control
打开一下空调的灯光可以不可以呢,HomeAppliance-Control
现在帮我把窗帘关上吧，准备午休啦,HomeAppliance-Control
这时候把洗衣机切换到儿童锁,HomeAppliance-Control
这烟太呛了，快点给我打开排气扇,HomeAppliance-Control
快加强空调的风速,HomeAppliance-Control
电脑卡住了，给它关机得了,HomeAppliance-Control
空调风调轻,HomeAppliance-Control
怎么调大一点风速,HomeAppliance-Control
我想做个清蒸鱼，帮我把蒸烤箱调成纯蒸模式,HomeAppliance-Control
有点吵空调设置为静音吧,HomeAppliance-Control
今天太冷啦，帮我把浴霸设置成强暖模式好吗,HomeAppliance-Control
空调风调小10个点,HomeAppliance-Control
打开音响然后播放单依纯的如此,HomeAppliance-Control
第一时间打开烟雾报警器,HomeAppliance-Control
今天家里太潮湿了，帮我把空调切换到除湿功能好吗,HomeAppliance-Control
屋里的空调温度调成最低,HomeAppliance-Control
是否可以调为最大的空调风速哇,HomeAppliance-Control
再调大两个卧室的空调风,HomeAppliance-Control
我说你把卧室遮阳帘给我开开,HomeAppliance-Control
洗衣机的浸泡时间改为三十分钟,HomeAppliance-Control
提前帮我打开厕所的灯吧,HomeAppliance-Control
帮我把卧室风速调低一点吧,HomeAppliance-Control
空调暖风调成26吧,HomeAppliance-Control
空调风速给调至最大吧,HomeAppliance-Control
冰箱里是否有果汁呢，我想喝,HomeAppliance-Control
空调现在是多少度呢，可以告诉我下吗,HomeAppliance-Control
可以帮我中央空调温度降低两度不,HomeAppliance-Control
这电热毯咋不热了，帮我把电热毯加热一下吧,HomeAppliance-Control
可不可以将风扇的风小点啦,HomeAppliance-Control
打雷了，帮我快速关掉电脑吧,HomeAppliance-Control
我要做饭了，给我开开抽油烟机。,HomeAppliance-Control
打开窗帘,HomeAppliance-Control
孩子要学习了，帮我把台灯开启阅读模式,HomeAppliance-Control
蒸烤箱切换到3D热风模式吧,HomeAppliance-Control
切换成空调的干燥模式,HomeAppliance-Control
我要去做饭了，把抽烟机打开一下,HomeAppliance-Control
冷冻室温度有点高，帮我降3度行吧,HomeAppliance-Control
帮我让洗衣机进入脱水模式吧,HomeAppliance-Control
可以帮我把扫地机器人关掉吗,HomeAppliance-Control
打开智能机器人，让它自动播报今天最新的天气预报,HomeAppliance-Control
我需要让洗衣机先暂停下,HomeAppliance-Control
把小型榨油机打开。,HomeAppliance-Control
是否让风扇调成自然风吹吹,HomeAppliance-Control
现在帮我把中央空调切换到辅热模式吧,HomeAppliance-Control
现在把洗碗机切换到75℃高温除菌功能吧,HomeAppliance-Control
我想让你把冰箱给关机，我要出门几天,HomeAppliance-Control
空调风速调小多降点儿,HomeAppliance-Control
这回南天地太湿了，帮我开下空气除湿器吧,HomeAppliance-Control
洗衣机使用完了关机,HomeAppliance-Control
有点赶时间，帮我把电饭煲切换到快煮饭模式,HomeAppliance-Control
好无聊，想看下电视，打开电视机吧,HomeAppliance-Control
我想把空调关了。,HomeAppliance-Control
空气净化器可以帮我打开吗,HomeAppliance-Control
洗碗机运行速度减慢了，给我关掉它。,HomeAppliance-Control
帮我关闭热水器,HomeAppliance-Control
打开扫地机器人,HomeAppliance-Control
打开投影仪，我想看最火的一部剧,HomeAppliance-Control
将电烤炉调到最大。,HomeAppliance-Control
我想烤牛排，帮我让蒸烤箱切换到热风+蒸汽模式吧,HomeAppliance-Control
可以把空调风速调快些不,HomeAppliance-Control
电饭煲温度太低了，帮我升温,HomeAppliance-Control
用最大的风速 我说空调呢,HomeAppliance-Control
今天气温有点低，把饮水机温度调到70度。,HomeAppliance-Control
可以将空调设置为睡眠模式不,HomeAppliance-Control
预约明天八点洗衣吧,HomeAppliance-Control
帮我关闭车库自动门,HomeAppliance-Control
打雷了，把电脑关了吧,HomeAppliance-Control
帮我将风扇风级调为5级吧,HomeAppliance-Control
听不清啊电视音量开大吧,HomeAppliance-Control
预约一下明天八点洗衣吧,HomeAppliance-Control
我说你暖气给我关闭,HomeAppliance-Control
开启洗衣服30分钟洗衣功能吧,HomeAppliance-Control
帮我打开洗衣机，我要洗羽绒服,HomeAppliance-Control
我想把二楼的灯关掉行嘛,HomeAppliance-Control
将空调切换为自动升降温模式,HomeAppliance-Control
空调制冷模式定时两个小时,HomeAppliance-Control
我马上就要关掉空调,HomeAppliance-Control
让洗衣机开始脱水吧,HomeAppliance-Control
开一下儿童房的灯,HomeAppliance-Control
我想让浴室通下风，帮我让浴霸切换到吹风模式,HomeAppliance-Control
关闭空气净化器,HomeAppliance-Control
把烤箱关了。,HomeAppliance-Control
室内有点闷热，帮我把风扇打开吧,HomeAppliance-Control
帮我把窗帘打开好吗,HomeAppliance-Control
我想把卧室的床头灯调到柔和光,HomeAppliance-Control
关闭屋内所有水龙头,HomeAppliance-Control
